Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle
2019,1,1,0,0,0,0,0,40.83,166.4
2019,1,1,0,10,0,0,0,41.13,165.7
2019,1,1,0,20,0,0,0,41.13,164.71
2019,1,1,0,30,0,0,0,41.13,163.5
2019,1,1,0,40,0,0,0,41.48,162.12
2019,1,1,0,50,0,0,0,41.48,160.59
2019,1,1,1,0,0,0,0,41.79,158.95
2019,1,1,1,10,0,0,0,41.79,157.23
2019,1,1,1,20,0,0,0,41.83,155.44
2019,1,1,1,30,0,0,0,41.83,153.6
2019,1,1,1,40,0,0,0,41.1,151.71
2019,1,1,1,50,0,0,0,41.1,149.8
2019,1,1,2,0,0,0,0,41.1,147.86
2019,1,1,2,10,0,0,0,41.1,145.89
2019,1,1,2,20,0,0,0,41.41,143.92
2019,1,1,2,30,0,0,0,41.41,141.93
2019,1,1,2,40,0,0,0,39.02,139.93
2019,1,1,2,50,0,0,0,39.02,137.92
2019,1,1,3,0,0,0,0,39.31,135.91
2019,1,1,3,10,0,0,0,39.31,133.89
2019,1,1,3,20,0,0,0,39.31,131.87
2019,1,1,3,30,0,0,0,39.6,129.85
2019,1,1,3,40,0,0,0,37.08,127.84
2019,1,1,3,50,0,0,0,37.12,125.82
2019,1,1,4,0,0,0,0,37.4,123.81
2019,1,1,4,10,0,0,0,37.4,121.81
2019,1,1,4,20,0,0,0,37.4,119.8
2019,1,1,4,30,0,0,0,37.4,117.81
2019,1,1,4,40,0,0,0,35.98,115.82
2019,1,1,4,50,0,0,0,35.98,113.84
2019,1,1,5,0,0,0,0,35.98,111.87
2019,1,1,5,10,0,0,0,36.01,109.91
2019,1,1,5,20,0,0,0,36.28,107.96
2019,1,1,5,30,0,0,0,36.28,106.03
2019,1,1,5,40,0,0,0,35.19,104.11
2019,1,1,5,50,0,0,0,35.19,102.2
2019,1,1,6,0,0,0,0,35.19,100.31
2019,1,1,6,10,0,0,0,34.43,98.43
2019,1,1,6,20,0,0,0,33.96,96.57
2019,1,1,6,30,0,0,0,33.47,94.74
2019,1,1,6,40,0,0,0,31.62,92.92
2019,1,1,6,50,0,0,0,31.17,91.13
2019,1,1,7,0,11,245,15,30.49,88.97
2019,1,1,7,10,17,375,34,29.84,87.36
2019,1,1,7,20,22,475,58,29.19,85.72
2019,1,1,7,30,27,555,85,28.6,84.07
