Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle,Temperature,is_day
2021,1,1,0,0,0,0,0,58.41,166.38,4,FALSE
2021,1,1,0,10,0,0,0,58.83,165.68,3.9,FALSE
2021,1,1,0,20,0,0,0,58.83,164.7,3.9,FALSE
2021,1,1,0,30,0,0,0,59.24,163.5,3.8,FALSE
2021,1,1,0,40,0,0,0,58.29,162.12,3.8,FALSE
2021,1,1,0,50,0,0,0,58.7,160.6,3.7,FALSE
2021,1,1,1,0,0,0,0,58.7,158.96,3.7,FALSE
2021,1,1,1,10,0,0,0,58.7,157.24,3.7,FALSE
2021,1,1,1,20,0,0,0,59.12,155.45,3.6,FALSE
2021,1,1,1,30,0,0,0,59.12,153.61,3.6,FALSE
2021,1,1,1,40,0,0,0,57.8,151.73,3.6,FALSE
2021,1,1,1,50,0,0,0,58.21,149.82,3.5,FALSE
2021,1,1,2,0,0,0,0,58.21,147.88,3.5,FALSE
2021,1,1,2,10,0,0,0,58.21,145.92,3.5,FALSE
2021,1,1,2,20,0,0,0,58.21,143.94,3.5,FALSE
2021,1,1,2,30,0,0,0,58.62,141.95,3.4,FALSE
2021,1,1,2,40,0,0,0,57.19,139.95,3.4,FALSE
2021,1,1,2,50,0,0,0,57.19,137.95,3.4,FALSE
2021,1,1,3,0,0,0,0,57.25,135.93,3.4,FALSE
2021,1,1,3,10,0,0,0,57.66,133.92,3.3,FALSE
2021,1,1,3,20,0,0,0,57.66,131.9,3.3,FALSE
2021,1,1,3,30,0,0,0,58.06,129.88,3.2,FALSE
2021,1,1,3,40,0,0,0,57.02,127.86,3.1,FALSE
2021,1,1,3,50,0,0,0,57.02,125.85,3.1,FALSE
2021,1,1,4,0,0,0,0,57.42,123.84,3,FALSE
2021,1,1,4,10,0,0,0,57.42,121.83,3,FALSE
2021,1,1,4,20,0,0,0,57.42,119.83,3,FALSE
2021,1,1,4,30,0,0,0,57.83,117.83,2.9,FALSE
2021,1,1,4,40,0,0,0,56.51,115.85,2.9,FALSE
2021,1,1,4,50,0,0,0,56.51,113.87,2.9,FALSE
2021,1,1,5,0,0,0,0,56.97,111.9,2.8,FALSE
2021,1,1,5,10,0,0,0,56.97,109.94,2.8,FALSE
2021,1,1,5,20,0,0,0,57.37,107.99,2.7,FALSE
2021,1,1,5,30,0,0,0,57.78,106.05,2.6,FALSE
2021,1,1,5,40,0,0,0,56.68,104.13,2.6,FALSE
2021,1,1,5,50,0,0,0,57.08,102.22,2.5,FALSE
2021,1,1,6,0,0,0,0,57.49,100.33,2.4,FALSE
2021,1,1,6,10,0,0,0,56.28,98.45,2.7,FALSE
2021,1,1,6,20,0,0,0,55.1,96.59,3,FALSE
2021,1,1,6,30,0,0,0,54.38,94.75,3.2,FALSE
2021,1,1,6,40,0,0,0,52.65,92.94,3.5,FALSE
2021,1,1,6,50,0,0,0,51.55,91.14,3.8,FALSE
2021,1,1,7,0,10,226,14,50.84,88.99,4,TRUE
2021,1,1,7,10,17,348,33,49.09,87.38,4.5,TRUE
2021,1,1,7,20,23,446,56,47.41,85.73,5,TRUE
2021,1,1,7,30,28,525,82,46.11,84.08,5.4,TRUE
2021,1,1,7,40,32,589,110,44.14,82.45,5.9,TRUE
2021,1,1,7,50,36,643,138,42.94,80.85,6.3,TRUE
2021,1,1,8,0,40,688,168,41.49,79.27,6.8,TRUE
2021,1,1,8,10,43,725,197,40.64,77.73,7.1,TRUE
2021,1,1,8,20,45,758,226,39.55,76.23,7.5,TRUE
2021,1,1,8,30,48,786,254,38.49,74.77,7.9,TRUE
2021,1,1,8,40,50,810,282,36.56,73.35,8.2,TRUE
2021,1,1,8,50,52,831,309,35.63,71.98,8.6,TRUE
2021,1,1,9,0,53,849,335,34.68,70.66,9,TRUE
2021,1,1,9,10,55,865,359,33.99,69.4,9.3,TRUE
2021,1,1,9,20,56,880,383,33.31,68.19,9.6,TRUE
2021,1,1,9,30,58,892,406,32.65,67.05,9.9,TRUE
2021,1,1,9,40,61,896,426,30.77,65.97,10.2,TRUE
2021,1,1,9,50,62,906,446,30.16,64.95,10.5,TRUE
2021,1,1,10,0,63,915,464,29.57,64.01,10.8,TRUE
2021,1,1,10,10,64,931,485,29.15,63.13,11,TRUE
2021,1,1,10,20,65,938,500,28.57,62.34,11.3,TRUE
2021,1,1,10,30,66,944,514,28.2,61.63,11.5,TRUE
2021,1,1,10,40,66,950,526,26.81,61,11.7,TRUE
2021,1,1,10,50,66,954,537,26.46,60.45,11.9,TRUE
2021,1,1,11,0,67,958,546,26.12,59.99,12.1,TRUE
2021,1,1,11,10,67,960,553,25.78,59.62,12.3,TRUE
2021,1,1,11,20,67,962,558,25.61,59.35,12.4,TRUE
2021,1,1,11,30,67,964,561,25.25,59.16,12.6,TRUE
2021,1,1,11,40,67,966,563,24.24,59.07,12.7,TRUE
2021,1,1,11,50,67,966,563,24.09,59.08,12.8,TRUE
2021,1,1,12,0,67,965,561,23.77,59.18,13,TRUE
2021,1,1,12,10,67,964,558,23.77,59.37,13,TRUE
2021,1,1,12,20,66,962,552,23.62,59.66,13.1,TRUE
2021,1,1,12,30,66,959,545,23.62,60.03,13.1,TRUE
2021,1,1,12,40,67,951,536,22.78,60.5,13.2,TRUE
2021,1,1,12,50,67,946,525,22.78,61.06,13.2,TRUE
2021,1,1,13,0,66,941,513,22.63,61.7,13.3,TRUE
2021,1,1,13,10,66,935,499,22.63,62.42,13.3,TRUE
2021,1,1,13,20,65,929,483,22.78,63.22,13.2,TRUE
2021,1,1,13,30,64,921,466,22.78,64.1,13.2,TRUE
2021,1,1,13,40,62,914,448,22.46,65.05,13.1,TRUE
2021,1,1,13,50,61,903,428,22.46,66.07,13.1,TRUE
2021,1,1,14,0,60,892,406,22.46,67.16,13.1,TRUE
2021,1,1,14,10,59,879,383,22.9,68.32,12.8,TRUE
2021,1,1,14,20,57,864,359,23.21,69.53,12.6,TRUE
2021,1,1,14,30,55,847,334,23.51,70.8,12.4,TRUE
2021,1,1,14,40,53,829,308,23.79,72.12,12.2,TRUE
2021,1,1,14,50,51,807,280,24.27,73.5,11.9,TRUE
2021,1,1,15,0,49,782,252,24.59,74.92,11.7,TRUE
2021,1,1,15,10,47,753,224,24.59,76.38,11.7,TRUE
2021,1,1,15,20,44,719,195,24.59,77.89,11.7,TRUE
2021,1,1,15,30,41,680,165,24.59,79.43,11.7,TRUE
2021,1,1,15,40,37,633,136,24.59,81.01,11.7,TRUE
2021,1,1,15,50,33,578,107,24.59,82.62,11.7,TRUE
2021,1,1,16,0,28,510,79,30,84.25,8.7,TRUE
2021,1,1,16,10,23,426,53,30.2,85.9,8.6,TRUE
2021,1,1,16,20,17,322,30,30.4,87.55,8.5,TRUE
2021,1,1,16,30,0,0,0,30.82,89.15,8.3,TRUE
2021,1,1,16,40,0,0,0,31.06,91.33,8.2,FALSE
2021,1,1,16,50,0,0,0,31.27,93.12,8.1,FALSE
2021,1,1,17,0,0,0,0,31.7,94.94,7.9,FALSE
2021,1,1,17,10,0,0,0,31.91,96.78,7.8,FALSE
2021,1,1,17,20,0,0,0,32.16,98.64,7.7,FALSE
2021,1,1,17,30,0,0,0,32.38,100.52,7.6,FALSE
2021,1,1,17,40,0,0,0,32.58,102.41,7.5,FALSE
2021,1,1,17,50,0,0,0,32.8,104.32,7.4,FALSE
2021,1,1,18,0,0,0,0,33.25,106.25,7.2,FALSE
2021,1,1,18,10,0,0,0,33.25,108.19,7.2,FALSE
2021,1,1,18,20,0,0,0,33.48,110.14,7.1,FALSE
2021,1,1,18,30,0,0,0,33.71,112.1,7,FALSE
